Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,250
Zero Index,34.40625000
Vertical Units,V

Labels,
TIME,CH4
-1.37625000e-08,5.00000000e-02
-1.33625000e-08,5.00000000e-02
-1.29625000e-08,5.00000000e-02
-1.25625000e-08,5.00000000e-02
-1.21625000e-08,5.00000000e-02
-1.17625000e-08,5.00000000e-02
-1.13625000e-08,5.00000000e-02
-1.09625000e-08,5.00000000e-02
-1.05625000e-08,5.00000000e-02
-1.01625000e-08,5.00000000e-02
-9.76250000e-09,5.00000000e-02
-9.36250000e-09,5.00000000e-02
-8.96250000e-09,5.00000000e-02
-8.56250000e-09,5.00000000e-02
-8.16250000e-09,5.00000000e-02
-7.76250000e-09,5.00000000e-02
-7.36250000e-09,5.00000000e-02
-6.96250000e-09,5.00000000e-02
-6.56250000e-09,5.00000000e-02
-6.16250000e-09,5.00000000e-02
-5.76250000e-09,5.00000000e-02
-5.36250000e-09,5.00000000e-02
-4.96250000e-09,5.00000000e-02
-4.56250000e-09,5.00000000e-02
-4.16250000e-09,5.00000000e-02
-3.76250000e-09,5.00000000e-02
-3.36250000e-09,5.00000000e-02
-2.96250000e-09,7.00000000e-02
-2.56250000e-09,1.10000000e-01
-2.16250000e-09,1.50000000e-01
-1.76250000e-09,2.50000000e-01
-1.36250000e-09,3.70000000e-01
-9.62500000e-10,5.30000000e-01
-5.62500000e-10,7.10000000e-01
-1.62500000e-10,9.10000000e-01
2.37500000e-10,1.09000000e+00
6.37500000e-10,1.25000000e+00
1.03750000e-09,1.39000000e+00
1.43750000e-09,1.51000000e+00
1.83750000e-09,1.61000000e+00
2.23750000e-09,1.67000000e+00
2.63750000e-09,1.71000000e+00
3.03750000e-09,1.75000000e+00
3.43750000e-09,1.75000000e+00
3.83750000e-09,1.77000000e+00
4.23750000e-09,1.77000000e+00
4.63750000e-09,1.79000000e+00
5.03750000e-09,1.81000000e+00
5.43750000e-09,1.85000000e+00
5.83750000e-09,1.89000000e+00
6.23750000e-09,1.93000000e+00
6.63750000e-09,1.99000000e+00
7.03750000e-09,2.03000000e+00
7.43750000e-09,2.09000000e+00
7.83750000e-09,2.13000000e+00
8.23750000e-09,2.15000000e+00
8.63750000e-09,2.19000000e+00
9.03750000e-09,2.21000000e+00
9.43750000e-09,2.23000000e+00
9.83750000e-09,2.25000000e+00
1.02375000e-08,2.29000000e+00
1.06375000e-08,2.31000000e+00
1.10375000e-08,2.33000000e+00
1.14375000e-08,2.37000000e+00
1.18375000e-08,2.39000000e+00
1.22375000e-08,2.41000000e+00
1.26375000e-08,2.43000000e+00
1.30375000e-08,2.43000000e+00
1.34375000e-08,2.45000000e+00
1.38375000e-08,2.45000000e+00
1.42375000e-08,2.47000000e+00
1.46375000e-08,2.47000000e+00
1.50375000e-08,2.49000000e+00
1.54375000e-08,2.51000000e+00
1.58375000e-08,2.51000000e+00
1.62375000e-08,2.53000000e+00
1.66375000e-08,2.55000000e+00
1.70375000e-08,2.57000000e+00
1.74375000e-08,2.59000000e+00
1.78375000e-08,2.61000000e+00
1.82375000e-08,2.61000000e+00
1.86375000e-08,2.63000000e+00
1.90375000e-08,2.63000000e+00
1.94375000e-08,2.63000000e+00
1.98375000e-08,2.65000000e+00
2.02375000e-08,2.65000000e+00
2.06375000e-08,2.67000000e+00
2.10375000e-08,2.67000000e+00
2.14375000e-08,2.69000000e+00
