Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,250
Zero Index,82.00000000
Vertical Units,V

Labels,
TIME,CH4
-3.28000000e-08,3.33000000e+00
-3.24000000e-08,3.33000000e+00
-3.20000000e-08,3.33000000e+00
-3.16000000e-08,3.33000000e+00
-3.12000000e-08,3.33000000e+00
-3.08000000e-08,3.33000000e+00
-3.04000000e-08,3.33000000e+00
-3.00000000e-08,3.33000000e+00
-2.96000000e-08,3.35000000e+00
-2.92000000e-08,3.35000000e+00
-2.88000000e-08,3.35000000e+00
-2.84000000e-08,3.35000000e+00
-2.80000000e-08,3.35000000e+00
-2.76000000e-08,3.33000000e+00
-2.72000000e-08,3.33000000e+00
-2.68000000e-08,3.33000000e+00
-2.64000000e-08,3.33000000e+00
-2.60000000e-08,3.33000000e+00
-2.56000000e-08,3.33000000e+00
-2.52000000e-08,3.33000000e+00
-2.48000000e-08,3.33000000e+00
-2.44000000e-08,3.33000000e+00
-2.40000000e-08,3.33000000e+00
-2.36000000e-08,3.35000000e+00
-2.32000000e-08,3.35000000e+00
-2.28000000e-08,3.35000000e+00
-2.24000000e-08,3.33000000e+00
-2.20000000e-08,3.33000000e+00
-2.16000000e-08,3.33000000e+00
-2.12000000e-08,3.33000000e+00
-2.08000000e-08,3.33000000e+00
-2.04000000e-08,3.33000000e+00
-2.00000000e-08,3.33000000e+00
-1.96000000e-08,3.33000000e+00
-1.92000000e-08,3.33000000e+00
-1.88000000e-08,3.33000000e+00
-1.84000000e-08,3.33000000e+00
-1.80000000e-08,3.33000000e+00
-1.76000000e-08,3.33000000e+00
-1.72000000e-08,3.35000000e+00
-1.68000000e-08,3.35000000e+00
-1.64000000e-08,3.35000000e+00
-1.60000000e-08,3.35000000e+00
-1.56000000e-08,3.35000000e+00
-1.52000000e-08,3.35000000e+00
-1.48000000e-08,3.35000000e+00
-1.44000000e-08,3.33000000e+00
-1.40000000e-08,3.33000000e+00
-1.36000000e-08,3.29000000e+00
-1.32000000e-08,3.23000000e+00
-1.28000000e-08,3.15000000e+00
-1.24000000e-08,3.01000000e+00
-1.20000000e-08,2.85000000e+00
-1.16000000e-08,2.67000000e+00
-1.12000000e-08,2.47000000e+00
-1.08000000e-08,2.27000000e+00
-1.04000000e-08,2.09000000e+00
-1.00000000e-08,1.93000000e+00
-9.60000000e-09,1.79000000e+00
-9.20000000e-09,1.69000000e+00
-8.80000000e-09,1.61000000e+00
-8.40000000e-09,1.57000000e+00
-8.00000000e-09,1.53000000e+00
-7.60000000e-09,1.51000000e+00
-7.20000000e-09,1.49000000e+00
-6.80000000e-09,1.49000000e+00
-6.40000000e-09,1.47000000e+00
-6.00000000e-09,1.45000000e+00
-5.60000000e-09,1.43000000e+00
-5.20000000e-09,1.39000000e+00
-4.80000000e-09,1.35000000e+00
-4.40000000e-09,1.31000000e+00
-4.00000000e-09,1.27000000e+00
-3.60000000e-09,1.23000000e+00
-3.20000000e-09,1.19000000e+00
-2.80000000e-09,1.15000000e+00
-2.40000000e-09,1.13000000e+00
-2.00000000e-09,1.11000000e+00
-1.60000000e-09,1.09000000e+00
-1.20000000e-09,1.07000000e+00
-8.00000000e-10,1.05000000e+00
-4.00000000e-10,1.01000000e+00
0.00000000e+00,9.90000000e-01
4.00000000e-10,9.70000000e-01
8.00000000e-10,9.30000000e-01
1.20000000e-09,9.10000000e-01
1.60000000e-09,8.90000000e-01
