Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,5000
Zero Index,249.18750000
Vertical Units,V

Labels,
TIME,CH4
-9.96750000e-08,5.00000000e-02
-9.92750000e-08,5.00000000e-02
-9.88750000e-08,5.00000000e-02
-9.84750000e-08,5.00000000e-02
-9.80750000e-08,5.00000000e-02
-9.76750000e-08,5.00000000e-02
-9.72750000e-08,5.00000000e-02
-9.68750000e-08,5.00000000e-02
-9.64750000e-08,5.00000000e-02
-9.60750000e-08,5.00000000e-02
-9.56750000e-08,5.00000000e-02
-9.52750000e-08,5.00000000e-02
-9.48750000e-08,5.00000000e-02
-9.44750000e-08,5.00000000e-02
-9.40750000e-08,5.00000000e-02
-9.36750000e-08,3.00000000e-02
-9.32750000e-08,3.00000000e-02
-9.28750000e-08,5.00000000e-02
-9.24750000e-08,5.00000000e-02
-9.20750000e-08,5.00000000e-02
-9.16750000e-08,5.00000000e-02
-9.12750000e-08,5.00000000e-02
-9.08750000e-08,5.00000000e-02
-9.04750000e-08,5.00000000e-02
-9.00750000e-08,5.00000000e-02
-8.96750000e-08,5.00000000e-02
-8.92750000e-08,5.00000000e-02
-8.88750000e-08,5.00000000e-02
-8.84750000e-08,5.00000000e-02
-8.80750000e-08,5.00000000e-02
-8.76750000e-08,5.00000000e-02
-8.72750000e-08,5.00000000e-02
-8.68750000e-08,5.00000000e-02
-8.64750000e-08,5.00000000e-02
-8.60750000e-08,5.00000000e-02
-8.56750000e-08,5.00000000e-02
-8.52750000e-08,5.00000000e-02
-8.48750000e-08,5.00000000e-02
-8.44750000e-08,5.00000000e-02
-8.40750000e-08,5.00000000e-02
-8.36750000e-08,5.00000000e-02
-8.32750000e-08,5.00000000e-02
-8.28750000e-08,5.00000000e-02
-8.24750000e-08,5.00000000e-02
-8.20750000e-08,5.00000000e-02
-8.16750000e-08,5.00000000e-02
-8.12750000e-08,5.00000000e-02
-8.08750000e-08,5.00000000e-02
-8.04750000e-08,5.00000000e-02
-8.00750000e-08,5.00000000e-02
-7.96750000e-08,5.00000000e-02
-7.92750000e-08,5.00000000e-02
-7.88750000e-08,5.00000000e-02
-7.84750000e-08,5.00000000e-02
-7.80750000e-08,5.00000000e-02
-7.76750000e-08,5.00000000e-02
-7.72750000e-08,5.00000000e-02
-7.68750000e-08,5.00000000e-02
-7.64750000e-08,5.00000000e-02
-7.60750000e-08,5.00000000e-02
-7.56750000e-08,5.00000000e-02
-7.52750000e-08,5.00000000e-02
-7.48750000e-08,5.00000000e-02
-7.44750000e-08,5.00000000e-02
-7.40750000e-08,5.00000000e-02
-7.36750000e-08,5.00000000e-02
-7.32750000e-08,5.00000000e-02
-7.28750000e-08,5.00000000e-02
-7.24750000e-08,5.00000000e-02
-7.20750000e-08,5.00000000e-02
-7.16750000e-08,5.00000000e-02
-7.12750000e-08,5.00000000e-02
-7.08750000e-08,5.00000000e-02
-7.04750000e-08,5.00000000e-02
-7.00750000e-08,5.00000000e-02
-6.96750000e-08,5.00000000e-02
-6.92750000e-08,5.00000000e-02
-6.88750000e-08,5.00000000e-02
-6.84750000e-08,5.00000000e-02
-6.80750000e-08,5.00000000e-02
-6.76750000e-08,5.00000000e-02
-6.72750000e-08,5.00000000e-02
-6.68750000e-08,5.00000000e-02
-6.64750000e-08,5.00000000e-02
-6.60750000e-08,5.00000000e-02
-6.56750000e-08,5.00000000e-02
